Course Link,Title,Short Description,Length,Effort,Price,Institution,Subject,Level,Prerequisites
https://www.edx.org/course/cs50s-introduction-to-computer-science,CS50's Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,12 Weeks,6-18 hours per week,$90 USD,HarvardX,Computer Science,Introductory,None.
https://www.edx.org/course/fundamentals-of-neuroscience-part-1-the-electrical,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Learn how electricity makes the neurons in your brain tick.,5 Weeks,3-5 hours per week,$99 USD,HarvardX,Biology & Life Sciences,Introductory,"Some familiarity witharithmetic, basic algebra, and working with equations."
https://www.edx.org/course/data-science-machine-learning,Data Science: Machine Learning,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,8 Weeks,2-4 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,This course is part of our Professional Certificate Program in Data Science and we recommend the preceding courses in the series as prerequisites.
https://www.edx.org/course/justice-2,Justice,This introduction to moral and political philosophy is one of the most popular courses taught at Harvard College.,12 Weeks,3-6 hours per week,$99 USD,HarvardX,Humanities,Introductory,Missing
https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr,Child Protection: Children's Rights in Theory and Practice,"Learn how to protect children from violence, exploitation, and neglect through law, policy, and practice in a human rights framework.",16 Weeks,2-6 hours per week,$99 USD,HarvardX,Social Sciences,Introductory,Missing
https://www.edx.org/course/ielts-academic-test-preparation,IELTS Academic Test Preparation,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.",8 Weeks,5-10 hours per week,$99 USD,UQx,Communication,Introductory,None. This course is suitable for anyone preparing to take the Academic IELTS test.
https://www.edx.org/course/principles-of-biochemistry,Principles of Biochemistry,"This introduction to biochemistry explores the molecules of life, starting at simple building blocks and culminating in complex metabolism.",15 Weeks,4-6 hours per week,$199 USD,HarvardX,Medicine,Intermediate,"College-level Introductory Biology
College-level Introductory General Chemistry, including basic Organic Chemistry"
https://www.edx.org/course/using-python-for-research,Using Python for Research,Take your introductory knowledge of Python programming to the next level and learn how to use Python 3 for your research.,12 Weeks,2-4 hours per week,$99 USD,HarvardX,Computer Science,Intermediate,Some previous Python programming experience (in any version of Python)
https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt,Programming for Everybody (Getting Started with Python),"This course is a ""no prerequisite"" introduction to Python Programming. You will learn about variables, conditional execution, repeated execution and how we use functions. The homework is done in a web browser so you can do all of the programming assignments on a phone or public computer.",7 Weeks,2-4 hours per week,$49 USD,MichiganX,Computer Science,Introductory,Missing
https://www.edx.org/course/the-architectural-imagination,The Architectural Imagination,Learn fundamental principles of architecture — as an academic subject or a professional career — by studying some of history’s most important buildings.,10 Weeks,3-5 hours per week,$99 USD,HarvardX,Architecture,Introductory,None
